id,authors,year_of_publication,title,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      
107,"ESCARPA A, GONZALEZ, MC.",2000,Evaluation of high-performance liquid chromatography for determination of phenolic compounds in pear horticultural cultivars,ESCARPA 2000_01,Chromatographia,51,37653,37-43,2003-12-05 10:41:49 UTC,2015-04-13 21:45:23 UTC      
589,"Escarpa A., Gonzalez M.C.",2000,Identification and quantitation of phenolics from green beans by high-performance liquid chromatography,ESCARPA 2000_02,Chromatographia,52,01-Feb,33-38,2015-04-13 21:45:26 UTC,2015-04-13 21:45:26 UTC      
294,"Escarpa A., Gonzalez M.C.",2001,Approach to the content of total extractable phenolic compounds from different food samples by comparison of chromatographic and spectrophotometric methods,ESCARPA 2001,Analytica Chimica Acta,427,1,119-127,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
951,"Espin J.C., Gonzalez-Barrio R., Cerda B., Lopez-Bote C., Rey A.I., Tomas-Barberan F.A.",2007,Iberian pig as a model to clarify obscure points in the bioavailability and metabolism of ellagitannins in humans,ESPIN 2007,J Agric Food Chem,55,25,10476-85,2015-04-13 21:45:29 UTC,2015-04-14 13:42:27 UTC      
551,"Espinosa-Alonso L.G., Lygin A., Widholm J.M., Valverde M.E., Paredes-Lopez O.",2006,Polyphenols in wild and weedy Mexican common beans (Phaseolus vulgaris L.),ESPINOSA-ALONSO 2006,Journal of Agricultural and Food Chemistry,54,12,4436-4444,2015-04-13 21:45:26 UTC,2015-04-14 13:42:28 UTC      
195,"Esti M., Cinquanta L., Sinesio F., Moneta E., Matteo M.d.",2002,Physicochemical and sensory fruit characteristics of two sweet cherry cultivars after cool storage,ESTI 2002,Food Chemistry,76,4,399-405,2004-08-12 13:27:12 UTC,2015-04-13 21:45:24 UTC      
394,"Evans L.E., Dedio W., Hill R.D.mag",1973,Variability in the alkylresorcinol content of rye grain,EVANS 1973,Canadian Journal of Plant Science,53,,485-488,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
77,"Ewald C., Fjelkner-Modig S., Johansson K., Sjoholm I., Akesson B.",1999,"Effect of processing on major flavonoids in processed onions, green beans, and peas",EWALD 1999,Food Chemistry,64,2,231-235,2003-12-05 10:41:49 UTC,2015-04-13 21:45:23 UTC      
494,"Fabjan N., Rode J., Kosir I.J., Wang Z., Zhang Z., Kreft I.",2003,Tartary buckwheat (Fagopyrum tatricum Gaertn.) as a source of dietary rutin and quercitrin,FABJAN 2003,Journal of Agricultural and Food Chemistry,51,,6452-6455,2015-04-13 21:45:26 UTC,2015-04-14 13:42:29 UTC      
1224,"Faller A.L.K., Fialho E.",2009,The antioxidant capacity and polyphenol content of organic and conventional retail vegetables after domestic cooking,FALLER 2009,Food Research International,42,1,210-215,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
1225,"Fanasca S., Rouphael Y., Venneria E., Azzini E., Durazzo A., Maiani G.",2009,Antioxidant properties of raw and cooked spears of green asparagus cultivars,FANASCA 2009,International Journal of Food Science and Technology,44,5,1017-1023,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
1153,"Fang N., Yu S., Badger T.M.",2002,Characterization of isoflavones and their conjugates in female rat urine using LC/MS/MS,FANG 2002,J Agric Food Chem,50,9,2700-7,2011-07-06 10:21:50 UTC,2015-04-14 13:42:30 UTC      
972,"Fang T., Wang Y., Ma Y., Su W., Bai Y., Zhao P.",2006,A rapid LC/MS/MS quantitation assay for naringin and its two metabolites in rats plasma,FANG 2006,J Pharm Biomed Anal,40,2,454-9,2015-04-13 21:45:29 UTC,2015-04-14 13:42:31 UTC      
504,"Fantozzi P., Montanari L., Mancini F., Gasbarrini A., Addolorato G., Simoncini M., Nardini M., Ghiselli A., Scaccini C.",1998,In vitro antioxidant capacity from wort to beer,FANTOZZI 1998,LWT - Food Science and Technology,31,,221-227,2007-02-02 10:16:18 UTC,2015-04-13 21:45:26 UTC      
621,"Farah A., de Paulis T., Trugo L.C., Martin P.R.",2005,Effect of roasting on the formation of chlorogenic acid lactones in coffee,FARAH 2005,Journal of Agricultural and Food Chemistry,53,,1505-1513,2015-04-13 21:45:26 UTC,2015-04-14 13:42:32 UTC      
622,"Farah A., de Paulis T., Moreira D.P., Trugo L.C., Martin P.R.",2006,Chlorogenic acids and lactones in regular and water-decaffeinated arabica coffees,FARAH 2006,Journal of Agricultural and Food Chemistry,54,,374-381,2015-04-13 21:45:26 UTC,2015-04-14 13:42:32 UTC      
1043,"Fardet A., Llorach R., Martin J.F., Besson C., Lyan B., Pujos-Guillot E., Scalbert A.",2008,A liquid chromatography-quadrupole time-of-flight (LC-QTOF)-based metabolomic approach reveals new metabolic effects of catechin in rats fed high-fat diets,FARDET 2008_01,J Proteome Res,7,6,2388-98,2015-04-13 21:45:29 UTC,2015-04-14 13:42:32 UTC      
1036,"Fardet A., Llorach R., Orsoni A., Martin J.F., Pujos-Guillot E., Lapierre C., Scalbert A.",2008,Metabolomics provide new insight on the metabolism of dietary phytochemicals in rats,FARDET 2008_02,J Nutr,138,7,1282-7,2015-04-13 21:45:29 UTC,2015-04-13 21:45:29 UTC      
1272,"Fares C., Menga V.",2012,Effects of toasting on the carbohydrate profile and antioxidant properties of chickpea (Cicer arietinum L.) flour added to durum wheat pasta,FARES 2012,Food Chemistry,131,4,1140-1148,2015-04-13 21:45:31 UTC,2015-04-13 21:45:31 UTC      
1077,"Felgines C., Talavera S., Gonthier M.P., Texier O., Scalbert A., Lamaison J.L., Remesy C.",2003,Strawberry anthocyanins are recovered in urine as glucuro- and sulfoconjugates in humans,FELGINES 2003,J Nutr,133,5,1296-301,2015-04-13 21:45:29 UTC,2015-04-14 13:42:33 UTC      
1072,"Felgines C., Talavera S., Texier O., Gil-Izquierdo A., Lamaison J.L., Remesy C.",2005,Blackberry anthocyanins are mainly recovered from urine as methylated and glucuronidated conjugates in humans,FELGINES 2005,J Agric Food Chem,53,20,7721-7,2015-04-13 21:45:29 UTC,2015-04-14 13:42:34 UTC      
1073,"Felgines C., Talavera S., Texier O., Besson C., Fogliano V., Lamaison J.L., la Fauci L., Galvano G., Remesy C., Galvano F.",2006,Absorption and metabolism of red orange juice anthocyanins in rats,FELGINES 2006,Br J Nutr,95,5,898-904,2015-04-13 21:45:29 UTC,2015-04-14 13:42:34 UTC      
1097,"Felgines C., Texier O., Besson C., Vitaglione P., Lamaison J.L., Fogliano V., Scalbert A., Vanella L., Galvano F.",2008,Influence of glucose on cyanidin 3-glucoside absorption in rats,FELGINES 2008,Mol Nutr Food Res,52,8,959-64,2015-04-13 21:45:30 UTC,2015-04-14 13:42:34 UTC      
1098,"Felgines C., Texier O., Garcin P., Besson C., Lamaison J.L., Scalbert A.",2009,Tissue distribution of anthocyanins in rats fed a blackberry anthocyanin-enriched diet,FELGINES 2009,Mol Nutr Food Res,53,9,1098-103,2015-04-13 21:45:30 UTC,2015-04-14 13:42:35 UTC      
360,"Feng Y., MC Donald C.E.",1989,Comparison of flavonoids in bran of four classes of wheat,FENG 1989,Cereal Chemistry,66,6,516-518,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
1183,"Ferracane R., Pellegrini N., Visconti A., Graziani G., Chiavaro E., Miglio C., Fogliano V.",2008,"Effects of different cooking methods on antioxidant profile, antioxidant capacity, and physical characteristics of artichoke",FERRACANE 2008,Journal of Agricultural and Food Chemistry,56,18,8601-8608,2015-04-13 21:45:30 UTC,2015-04-14 13:42:35 UTC      
382,"Ferreres F., Gil M.I., Tomas-Barberan F.A.",1996,Anthocyanins and flavonoids from shredded red onion and changes during storage in perforated films,FERRERES 1996,Food Research International,29,03-Apr,389-395,2015-04-13 21:45:25 UTC,2015-04-13 21:45:25 UTC      
421,"Ferreres F., Valentao P., Llorach R., Pinheiro C., Cardoso L., Pereira J.A., Sousa C., Seabra R.M., Andrade P.B.",2005,Phenolic compounds in external leaves of Tronchuda cabbage (Brassica oleracea L. var. costata DC),FERRERES 2005,Journal of Agricultural and Food Chemistry,53,8,2901-2907,2006-11-07 09:41:34 UTC,2015-04-14 13:42:36 UTC      
954,"Ferruzzi M.G., Lobo J.K., Janle E.M., Cooper B., Simon J.E., Wu Q.L., Welch C., Ho L., Weaver C., Pasinetti G.M.",2009,Bioavailability of gallic acid and catechins from grape seed polyphenol extract is improved by repeated dosing in rats: implications for treatment in Alzheimer's disease,FERRUZZI 2009,J Alzheimers Dis,18,1,113-24,2015-04-13 21:45:29 UTC,2015-04-14 13:42:37 UTC      
511,"Floridi S., Montanari L., Marconi O., Fantozzi P.",2003,Determination of free phenolic acids in wort and beer by coulometric array detection,FLORIDI 2003,Journal of Agricultural and Food Chemistry,51,,1548-1554,2007-06-02 16:06:35 UTC,2015-04-14 13:42:37 UTC      
717,"Franconi F., Coinu R., Carta S., Urgeghe P.P., Ieri F., Mulinacci N., Romani A.",2006,Antioxidant effect of two virgin olive oils depends on the concentration and composition of minor polar compounds,FRANCONI 2006,Journal of Agricultural and Food Chemistry,54,,3121-3125,2007-06-11 16:08:56 UTC,2015-04-14 13:42:37 UTC      
1133,"Franke A.A., Custer L.J.",1996,Daidzein and genistein concentrations in human milk after soy consumption,FRANKE 1996,Clin Chem,42,6 Pt 1,955-64,2011-04-06 23:30:39 UTC,2015-04-13 21:45:30 UTC      
897,"Franke A.A., Custer L.J., Wang W., Shi C.Y.",1998,HPLC analysis of isoflavonoids and other phenolic agents from foods and from human fluids,FRANKE 1998_01,Proceedings of the Society for Experimental Biology and Medicine,217,3,263-73,2015-04-13 21:45:28 UTC,2015-04-14 13:42:39 UTC      
1137,"Franke A.A., Custer L.J., Tanaka Y.",1998,Isoflavones in human breast milk and other biological fluids,FRANKE 1998_02,Am J Clin Nutr,68,6 Suppl,1466S-1473,2011-04-06 23:30:39 UTC,2015-04-14 13:42:40 UTC      
899,"Franke A.A., Hankin J.H., Yu M.C., Maskarinec G., Low S.H., Custer L.J.",1999,Isoflavone levels in soy foods consumed by multiethnic populations in Singapore and Hawaii,FRANKE 1999,Journal of Agricultural and Food Chemistry,47,3,977-86,2015-04-13 21:45:28 UTC,2015-04-14 13:42:40 UTC      
973,"Franke A.A., Cooney R.V., Henning S.M., Custer L.J.",2005,Bioavailability and antioxidant effects of orange juice components in humans,FRANKE 2005,J Agric Food Chem,53,13,5170-8,2015-04-13 21:45:29 UTC,2015-04-14 13:42:40 UTC      
254,"Frankel E.N., Waterhouse A.L., Teissedre P.L.",1995,Principal phenolic phytochemicals in selected California wines and their antioxidant activity in inhibiting oxidation of human low-density lipoproteins,FRANKEL 1995,Journal of Agricultural and Food Chemistry,43,4,890-894,2005-05-08 11:39:23 UTC,2015-04-13 21:45:24 UTC      
1138,"French M.R., Thompson L.U., Hawker G.A.",2007,Validation of a phytoestrogen food frequency questionnaire with urinary concentrations of isoflavones and lignan metabolites in premenopausal women,FRENCH 2007,J Am Coll Nutr,26,1,76-82,2011-04-06 23:30:39 UTC,2015-04-14 13:42:41 UTC      
730,"Friedman M., Kim S.Y., Lee S.J., Han G.P., Han J.S., Lee K.R., Kozukue N.",2005,"Distribution of catechins, theaflavins, caffeine, and theobromine in 77 teas consumed in the United States",FRIEDMAN 2005,Journal of Food Science,70,9,C550-C559,2007-09-11 12:18:49 UTC,2015-04-13 21:45:27 UTC      
799,"Fruhwirth G.O., Wenzl T., El-Toukhy R., Wagner F.S., Hermetter A.",2003,Fluorescence screening of antioxidant capacity in pumpkin seed oils and other natural oils,FRUHWIRTH 2003,European Journal of Lipid Science and Technology,105,,266-274,2007-12-12 11:47:30 UTC,2015-04-13 21:45:28 UTC      
580,"Fujioka K., Shibamoto T.",2006,Quantitation of volatiles and nonvolatile acids in an extract from coffee beverages: correlation with antioxidant activity,FUJIOKA 2006,Journal of Agricultural and Food Chemistry,54,,6054-6058,2007-06-04 09:52:21 UTC,2015-04-13 21:45:26 UTC      
798,"Fukuda Y., Nagata M., Osawa T., Namiki M.",1986,Contribution of lignan analogues to antioxidative activity of refined unroasted sesame seed oil,FUKUDA 1986,Journal of the American Oil Chemists' Society,63,8,1027-1031,2007-11-12 15:56:46 UTC,2015-04-13 21:45:28 UTC      
885,"Fukutake M., Takahashi M., Ishida K., Kawamura H., Sugimura T., Wakabayashi K.",1996,Quantification of genistein and genistin in soybeans and soybean products,FUKUTAKE 1996,Food and Chemical Toxicology,34,5,457-61,2009-06-07 13:38:53 UTC,2015-04-14 13:42:43 UTC      
1226,"Fuleki T., Ricardo-Da-Silva J.M.",2003,Effects of cultivar and processing method on the contents of catechins and procyanidins in grape juice,FULEKI 2003,Journal of Agricultural and Food Chemistry,51,3,640-646,2012-12-01 22:21:08 UTC,2015-04-14 13:42:43 UTC      
448,"Gallardo C., Jimenez L., Garcia-Conesa M.-T.",2006,Hydroxycinnamic acid composition and in vitro antioxidant activity of selected grain fractions,GALLARDO 2006,Food Chemistry,99,,455-463,2006-09-08 10:38:23 UTC,2015-04-13 21:45:25 UTC      
552,"Galvez Ranilla L., Genovese M.I., Lajolo F.M.",2007,Polyphenols and antioxidant capacity of seed coat and cotyledon from Brazilian and Peruvian bean cultivars (Phaseolus vulgaris L.),GALVEZ RANILLA 2007,Journal of Agricultural and Food Chemistry,55,1,90-98,2015-04-13 21:45:26 UTC,2015-04-14 13:42:44 UTC      
65,"Gamache P., Ryan E., Acworth I.N.",1993,Analysis of phenolic and flavonoid compounds in juice beverages using high-performance liquid chromatography with coulometric array detection,GAMACHE 1993,Journal of Chromatography,635,1,143-50,2003-12-05 10:41:49 UTC,2015-04-14 13:42:45 UTC      
255,"Gambelli L., Santaroni G.P.",2004,Polyphenols content in some Italian red wines of different geographical origins,GAMBELLI 2004,Journal of Food Composition and Analysis,17,5,613-618,2005-05-08 11:39:23 UTC,2015-04-13 21:45:24 UTC      
316,"Gambuti A., Strollo D., Ugliano M., Lecce L., Moio L.",2004,"trans-Resveratrol, quercetin, (+)-catechin, and (-)-epicatechin content in south Italian monovarietal wines: relationship with maceration time and marc pressing during winemaking",GAMBUTI 2004,Journal of Agricultural and Food Chemistry,52,18,5747-5751,2005-11-10 11:18:43 UTC,2015-04-14 13:42:45 UTC      
232,"Gao L., Mazza G.",1994,Quantitation and distribution of simple and acylated anthocyanins and other phenolics in blueberries,GAO 1994,Journal of Food Science,59,5,1057-1059,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
173,"Gao L., Mazza G.",1995,"Characterization, quantitation, and distribution of anthocyanins and colorless phenolics in sweet cherries",GAO 1995,Journal of Agricultural and Food Chemistry,43,2,343-346,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
952,"Gao S., Zhan Q., Li J., Yang Q., Li X., Chen W., Sun L.",2010,LC-MS/MS method for the simultaneous determination of ethyl gallate and its major metabolite in rat plasma,GAO 2010,Biomed Chromatogr,24,5,472-8,2015-04-13 21:45:29 UTC,2015-04-14 13:42:46 UTC      
553,"Garcia E., Filisetti T., Udaeta J.E.M., Lajolo F.M.",1998,Hard-to-cook beans (Phaseolus vulgaris): involvement of phenolic compounds and pectates,GARCIA 1998,Journal of Agricultural and Food Chemistry,46,6,2110-2116,2015-04-13 21:45:26 UTC,2015-04-13 21:45:26 UTC      
772,"Garcia A., Brenes M., Romero C., Garcia P., Garrido A.",2002,Study of phenolic compounds in virgin olive oils of the Picual variety,GARCIA 2002,European Food Research and Technology,215,,407-412,2015-04-13 21:45:27 UTC,2015-04-14 13:42:47 UTC      
712,"Garcia A., Brenes M., Garcia P., Romero C., Garrido A.",2003,Phenolic content of commercial olive oils,GARCIA 2003,European Food Research and Technology,216,,520-525,2007-05-11 14:28:57 UTC,2015-04-14 13:42:47 UTC      
1103,"Garcia-Alonso M., Minihane A.M., Rimbach G., Rivas-Gonzalo J.C., de Pascual-Teresa S.",2009,Red wine anthocyanins are rapidly absorbed in humans and affect monocyte chemoattractant protein 1 levels and antioxidant capacity of plasma,GARCIA-ALONSO 2009,J Nutr Biochem,20,7,521-9,2015-04-13 21:45:30 UTC,2015-04-14 13:42:48 UTC      
355,"Garcia-Conesa M.T., Plumb G.W., Waldron K.W., Ralph J., Williamson G.",1997,"Ferulic acid dehydromers from wheat bran: isolation, purification and antioxidant properties of 8-O-4-diferulic acid",GARCIA-CONESA 1997,Redox Report,3,05-Jun,319-323,2015-04-13 21:45:25 UTC,2015-04-14 13:42:48 UTC      
1227,"Garcia-Parra J., Gonzalez-Cebrino F., Delgado J., Lozano M., Hernandez T., Ramirez R.",2011,Effect of Thermal and High-Pressure Processing on the Nutritional Value and Quality Attributes of a Nectarine Puree with Industrial Origin during the Refrigerated Storage,GARCIA-PARRA 2011,Journal of Food Science,76,4,C618-C625,2012-12-01 22:21:08 UTC,2015-04-14 13:42:49 UTC      
256,"Garcia-Parrilla M.C., Gonzalez G.A., Heredia F.J., Troncoso A.M.",1997,Differentiation of wine vinegars based on phenolic composition,GARCIA-PARRILLA 1997,Journal of Agricultural and Food Chemistry,45,9,3487-3492,2005-05-08 11:39:23 UTC,2015-04-13 21:45:24 UTC      
510,"Garcia-Sanchez F., Carnero C., Heredia A.",1988,Fluorometric determination of p-coumaric acid in beer,GARCIA-SANCHEZ 1988,Journal of Agricultural and Food Chemistry,36,,80-82,2007-06-02 15:33:07 UTC,2015-04-13 21:45:26 UTC      
196,"Garcia-Viguera C., Bridle P., Ferreres F., Tomas-Barberan F.A.",1994,"Influence of variety, maturity and processing on phenolic compounds of apricot juices and jams",GARCIA-VIGUERA 1994,Zeitschrift fuer Lebensmittel Untersuchung und Forschung,199,6,433-436,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
192,"Garcia-Viguera C., Zafrilla P., Tomas-Barberan F.A.",1997,Determination of authenticity of fruit jams by HPLC analysis of anthocyanins,GARCIA-VIGUERA 1997,Journal of the Science of Food and Agriculture,73,2,207-213,2004-02-12 10:13:35 UTC,2015-04-13 21:45:24 UTC      
1228,"Garcia-Viguera C., Zafrilla P., Romero F., Abellan P., Artes F., Tomas-Barberan F.A.",1999,Color stability of strawberry jam as affected by cultivar and storage temperature,GARCIA-VIGUERA 1999,Journal of Food Science,64,2,243-247,2012-12-01 22:21:08 UTC,2015-04-14 13:42:50 UTC      
1019,"Gardana C., Simonetti P., Berti C., Pietta P.",2007,Evaluation of propolis polyphenols absorption in humans by liquid chromatography/tandem mass spectrometry,GARDANA 2007_01,Rapid Commun Mass Spectrom,21,23,3849-54,2015-04-13 21:45:29 UTC,2015-04-14 13:42:51 UTC      
1114,"Gardana C., Guarnieri S., Riso P., Simonetti P., Porrini M.",2007,Flavanone plasma pharmacokinetics from blood orange juice in human subjects,GARDANA 2007_02,Br J Nutr,98,1,165-72,2011-04-05 12:13:37 UTC,2015-04-13 21:45:30 UTC      
140,"Gardner P.T., White T.A.C., McPhail D.B., Duthie G.G.",2000,"The relative contributions of vitamin C, carotenoids and phenolics to the antioxidant potential of fruit juices",GARDNER 2000,Food Chemistry,68,4,471-474,2015-04-13 21:45:23 UTC,2015-04-13 21:45:23 UTC      
1182,Gawlik-Dziki U.,2008,Effect of hydrothermal treatment on the antioxidant properties of broccoli (Brassica oleracea var. botrytis italica) florets,GAWLIK-DZIKI 2008,Food Chemistry,109,2,393-401,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      
364,"Gélinas P., MC Kinnon C.M.",2006,"Effect of wheat variety, farming site, and bread-baking on total phenolics",GELINAS 2006,International Journal of Food Science and Technology,41,,329-332,2006-03-05 14:20:26 UTC,2015-04-13 21:45:25 UTC      
57,"Gennaro L., Leonardi C., Esposito F., Salucci M., Maiani G., Quaglia G., Fogliano V.",2002,Flavonoid and carbohydrate contents in Tropea red onions: effects of homelike peeling and storage,GENNARO 2002,Journal of Agricultural and Food Chemistry,50,7,1904-10,2003-12-05 10:41:49 UTC,2015-04-14 13:42:54 UTC      
396,"George B., Kaur C., Khurdiya D.S., Kapoor H.C.",2004,Antioxidants in tomato (Lycopersicon esculentum) as a function of genotype,GEORGE 2004,Food Chemistry,84,1,45-51,2015-04-13 21:45:25 UTC,2015-04-14 13:42:54 UTC      
1215,"Georgé S., Tourniaire F., Gautier H., Goupy P., Rock E., Caris-Veyrat C.",2011,"Changes in the contents of carotenoids, phenolic compounds and vitamin C during technical processing and lyophilisation of red and yellow tomatoes",GEORGÉ 2011,Food Chemistry,124,4,1603-1611,2012-08-01 19:25:09 UTC,2015-04-13 21:45:30 UTC      
257,"Ghiselli A., Nardini M., Baldi A., Scaccini C.",1998,Antioxidant activity of different phenolic fractions separated from an Italian red wine,GHISELLI 1998,Journal of Agricultural and Food Chemistry,46,2,361-367,2005-05-08 11:39:23 UTC,2015-04-14 13:42:55 UTC      
804,"Giao M.S., Gonzalez-Sanjose M.L., Rivero-Perez M.D., Pereira C.I., Pintado M.E., Xavier Malcata F.",2007,Infusions of Portuguese medicinal plants: dependence of final antioxidant capacity and phenol content on extraction features,GIAO 2007,Journal of the Science of Food and Agriculture,87,14,2638-2647,2015-04-13 21:45:28 UTC,2015-04-14 13:42:55 UTC      
302,"Gil M.I., Cherif J., Ayed N., Artes F., Tomasbarberan F.A.",1995,"Influence of Cultivar, Maturity Stage and Geographical Location on the Juice Pigmentation of Tunisian Pomegranates",GIL 1995,Zeitschrift fuer Lebensmittel Untersuchung und Forschung,201,4,361-364,2005-03-10 15:08:17 UTC,2015-04-13 21:45:24 UTC      
417,"Gil M.I., Ferreres F., Tomas-Barberan F.A.",1999,Effect of postharvest storage and processing on the antioxidant constituents (flavonoids and vitamin C) of fresh-cut spinach,GIL 1999,Journal of Agricultural and Food Chemistry,47,6,2213-2217,2015-04-13 21:45:25 UTC,2015-04-14 13:42:56 UTC      
844,"Gil M.I., Tomas-Barberan F.A., Hess-Pierce B., Holcroft D.M., Kader A.A.",2000,Antioxidant activity of pomegranate juice and its relationship with phenolic composition and processing,GIL 2000,Journal of Agricultural and Food Chemistry,48,10,4581-4589,2015-04-13 21:45:28 UTC,2015-04-14 13:42:57 UTC      
28,"Gil-Izquierdo, A., Gil, M.I., Ferreres, F., Tomas-Barberan, F.A.",2001,In vitro availability of flavonoids and other phenolics in orange juice,GIL-IZQUIERDO 2001_01,Journal of Agricultural and Food Chemistry,49,2,1035-1041,2015-04-13 21:45:23 UTC,2015-04-14 13:42:57 UTC      
200,"Gil-Izquierdo A., Mellenthin A.",2001,Identification and quantitation of flavonols in rowanberry (Sorbus aucuparia L.) juice,GIL-IZQUIERDO 2001_02,European Food Research and Technology,213,1,Dec-17,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
158,"Gil-Izquierdo A., Gil M.I., Tomas-Barberan F.A., Ferreres F.",2003,Influence of industrial processing on orange juice flavanone solubility and transformation to chalcones under gastrointestinal conditions,GIL-IZQUIERDO 2003,Journal of Agricultural and Food Chemistry,51,10,3024-3028,2015-04-13 21:45:23 UTC,2015-04-14 13:42:58 UTC      
763,"Gimeno E., Castellote A.I., Lamuela-Raventos R.M., De la Torre M.C., Lopez-Sabater M.C.",2002,"The effects of harvest and extraction methods on the antioxidant content (phenolics, alpha-tocopherol, and beta-carotene) in virgin olive oil",GIMENO 2002,Food Chemistry,78,,207-211,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
1071,"Giordano L., Coletta W., Rapisarda P., Donati M.B., Rotilio D.",2007,"Development and validation of an LC-MS/MS analysis for simultaneous determination of delphinidin-3-glucoside, cyanidin-3-glucoside and cyanidin-3-(6-malonylglucoside) in human plasma and urine after b",GIORDANO 2007,J Sep Sci,30,18,3127-36,2015-04-13 21:45:29 UTC,2015-04-13 21:45:29 UTC      
481,"Gitanjali, Yasoda Devi P., Shiva Prakash M.",2004,Effect of shallow frying on total phenolic content and antioxidant activity in selected vegetables,GITANJALI 2004,Journal of Food Science and Technology,41,6,666-668,2015-04-13 21:45:26 UTC,2015-04-13 21:45:26 UTC      
146,"Gliszczynska-Swiglo A., Tyrakowska B.",2003,Quality of commercial apple juices evaluated on the basis of the polyphenol content and the TEAC antioxidant activity,GLISZCZYNSKA-SWIGLO 2003,Journal of Food Science,68,5,1844-1849,2004-10-08 10:02:34 UTC,2015-04-13 21:45:23 UTC      
380,"Gohil S., Petterson D., Salomonsson A.-C., Aman P.",1988,"Analysis of alkyl- and alkenylresorcinols in Triticale, wheat and rye",GOHIL 1988,Journal of the Science of Food and Agriculture,45,,43-52,2015-04-13 21:45:25 UTC,2015-04-14 13:43:00 UTC      
148,"Gokmen V., Artik N., Acar J., Kahraman N., Poyrazoglu Z.",2001,"Effects of various clarification treatments on patulin, phenolic compound and organic acid compositions of apple juice",GOKMEN 2001,European Food Research and Technology,213,3,194-199,2004-10-08 10:02:34 UTC,2015-04-13 21:45:23 UTC      
147,"Gokmen V., Acar J., Kahraman N.",2003,Influence of conventional clarification and ultrafiltration on the phenolic composition of Golden Delicious apple juice,GOKMEN 2003,Journal of Food Quality,26,3,257-266,2004-10-08 10:02:34 UTC,2015-04-13 21:45:23 UTC      
286,"Goldberg D.M., Ng E., Karumanchiri A., Yan J., Diamandis E.P., Soleas G.J.",1995,Assay of Resveratrol Glucosides and Isomers in Wine by Direct-Injection High-Performance Liquid-Chromatography,GOLDBERG 1995,Journal of Chromatography A,708,1,89-98,2015-04-13 21:45:24 UTC,2015-04-14 13:43:01 UTC      
296,"Goldberg D.M., Ng E., Karumanchiri A., Diamandis E.P., Soleas G.J.",1996,Resveratrol glucosides are important components of commercial wines,GOLDBERG 1996,American Journal of Enology and Viticulture,47,4,415-420,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
297,"Goldberg D.M., Karumanchiri A., Tsang E., Soleas G.J.",1998,Catechin and epicatechin concentrations of red wines: regional and cultivar-related differences,GOLDBERG 1998_01,American Journal of Enology and Viticulture,49,1,23-34,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
298,"Goldberg D.M., Tsang E., Karumanchiri A., Soleas G.J.",1998,Quercetin and p-coumaric acid concentrations in commercial wines,GOLDBERG 1998_02,American Journal of Enology and Viticulture,49,2,142-151,2015-04-13 21:45:24 UTC,2015-04-13 21:45:24 UTC      
317,"Goldberg D.M., Hoffman B., Yang J., Soleas G.J.",1999,"Phenolic constituents, furans, and total antioxidant status of distilled spirits",GOLDBERG 1999,Journal of Agricultural and Food Chemistry,47,10,3978-3985,2005-11-10 11:18:43 UTC,2015-04-14 13:43:02 UTC      
720,"Gomez-Alonso S., Desamparados-Salvador M., Fregapane G.",2002,Phenolic compounds profile of Cornicabra virgin olive oil,GOMEZ-ALONSO 2002,Journal of Agricultural and Food Chemistry,50,,6812-6817,2007-07-11 13:38:29 UTC,2015-04-14 13:43:02 UTC      
724,"Gomez-Alonso S., Fregapane G., Desamparados-Salvador M., Gordon M.H.",2003,Changes in phenolic composition and antioxidant activity of virgin olive oil during frying,GOMEZ-ALONSO 2003,Journal of Agricultural and Food Chemistry,51,,667-672,2007-07-11 13:46:04 UTC,2015-04-14 13:43:03 UTC      
762,"Gomez-Rico A., Desamparados Salvador M., La Greca M., Fregapane G.",2006,Phenolic and volatile compounds of extra virgin olive oil (Olea europaea L. cv. Cornicabra) with regard to fruit ripening and irrigation management,GOMEZ-RICO 2006,Journal of Agricultural and Food Chemistry,54,,7130-7136,2015-04-13 21:45:27 UTC,2015-04-14 13:43:03 UTC      
861,"Gomez-Rico A., Fregapane G., Salvador M.D.",2008,Effect of cultivar and ripening on minor components in Spanish olive fruits and their corresponding virgin olive oils,GOMEZ-RICO 2008,Food Research International,41,,433-440,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
